Id;Phase;Prozessname;Inhaltsbereich;Prozessbeteiligte;Ebene;Vorgaenger;Nachfolger
381;Projektabschluss;Kostenrisiken analysieren;Kosten, MMD;PM, PS, AIF, BER, SV, Ba;4;;
382;Projektabschluss;Leistungsstand und Budget prüfen;Kosten, MMD;PM, PS, AIF;4;;
383;Projektabschluss;Kostenfeststellung und -rahmen prüfen;Kosten, MMD;PM, PS, AIF;4;;
384;Projektabschluss;Soll-Ist-Wird-Vergleiche durchführen;Kosten, MMD;PM, PS, AIF;4;;
88;Projektabschluss;Terminkontrolle;Termine, MMD;;3;85;
89;Projektabschluss;Rahmenterminplanversionen prüfen;Termine, MMD;PL, PM, PS;4;86;
90;Projektabschluss;Soll-Ist-Wird-Vergleiche durchführen;Termine, MMD;PS, PM;4;87;
385;Projektabschluss;Terminprognosen erstellen;Termine, MMD;PL, PM, PS;4;;
386;Projektabschluss;Terminrisiken analysieren;Termine, MMD;PL, PM, PS, BER, SV;4;;
387;Projektabschluss;Generalterminplanversionen prüfen;Termine, MMD;PL, PM, PS;4;;
388;Projektabschluss;Soll-Ist-Wird-Vergleiche durchführen;Termine, MMD;PS, PM;4;;
389;Projektabschluss;Terminprognosen erstellen;Termine, MMD;PL, PM, PS;4;;
390;Projektabschluss;Terminrisiken analysieren;Termine, MMD;PL, PM, PS, BER, SV;4;;
391;Projektabschluss;Detail-/ Strg.sterminplanversionen prüfen;Termine, MMD;PL, PM, PS;4;;
392;Projektabschluss;Soll-Ist-Wird-Vergleiche durchführen;Termine, MMD;PS, PM;4;;
393;Projektabschluss;Terminprognosen erstellen;Termine, MMD;PL, PM, PS;4;;
394;Projektabschluss;Terminrisiken analysieren;Termine, MMD;PL, PM, PS, BER, SV;4;;
395;Projektabschluss;Abnahmeterminplan prüfen;Termine, MMD;PL, PM, PS;4;;
396;Projektabschluss;Soll-Ist-Wird-Vergleiche durchführen;Termine, MMD;PS, PM;4;;
397;Projektabschluss;Terminprognosen erstellen;Termine, MMD;PL, PM, PS;4;;
398;Projektabschluss;Terminrisiken analysieren;Termine, MMD;PL, PM, PS, BER, SV;4;;
129;Projektabschluss;Leistungskontrolle;Leistung, MMD;;3;126;
130;Projektabschluss;Vertragsleistung und Leistungsstand prüfen;Leistung, MMD;PL, PM, PS;4;127;
399;Projektabschluss;Soll-Ist-Wird-Vergleiche durchführen;Leistung, MMD;PS, PM, AIF;4;124;130
400;Projektabschluss;Prognosen erstellen;Leistung, MMD;PL, PM, PS, AIF;4;;
401;Projektabschluss;Risiken analysieren;Leistung, MMD;PL, PM, PS, AIF, BER, SV;4;;
402;Projektabschluss;Nachträge prüfen;Leistung, MMD;AG, PL, AIF;4;;
403;Projektabschluss;Soll-Ist-Wird-Vergleiche durchführen;Leistung, MMD;PS, PM, AIF;4;;
404;Projektabschluss;Prognosen erstellen;Leistung, MMD;PL, PM, PS, AIF;4;;
405;Projektabschluss;Risiken analysieren;Leistung, MMD;PL, PM, PS, AIF, BER, SV;4;;
406;Projektabschluss;Auf Mängel prüfen;Leistung, MMD;AG, PL, AIF;4;;
407;Projektabschluss;Soll-Ist-Wird-Vergleiche durchführen;Leistung, MMD;PS, PM, AIF;4;;
408;Projektabschluss;Prognosen erstellen;Leistung, MMD;PL, PM, PS, AIF;4;;
409;Projektabschluss;Risiken analysieren;Leistung, MMD;PL, PM, PS, AIF, BER, SV;4;;
410;Projektabschluss;Projektsteuerung;MMD, Kosten, Termine, Leistung, Projektorganisation;;3;;
411;Projektabschluss;Auf Abweichungen prüfen;MMD, Kosten, Termine, Leistung, Projektorganisation;PM, PS, AIF;4;;
412;Projektabschluss;Geeignete Maßnahmen identifizieren;MMD, Kosten, Termine, Leistung, Projektorganisation;PM, PS, AIF, BER, SV, RA, Ba;4;;
413;Projektabschluss;Ausgewählte Maßnahmen ergreifen;MMD, Kosten, Termine, Leistung, Projektorganisation;AG, PL, PM;4;;
414;Projektabschluss;Nutzung;MMD, Kosten, Termine, Leistung, Projektorganisation;AG, N;4;;
131;Planung;Leistungsfortschreibung;Leistung;;2;112;138
132;Planung;Entwurfsplanung;Leistung;;3;116;135
133;Planung;Qualitätsstandards festlegen;Leistung;AG, PL, AIF;4;118;134
241;Planung;Pflichtenheft erstellen;Leistung;PL, AIF;4;;
246;Planung;Raumbuch erstellen;Leistung;AIF, PM;4;;
134;Planung;Konzeption der Bemusterung erstellen;Leistung;AIF, PM;4;133;136
242;Planung;Entwurfsplanung erstellen;Leistung;AIF;4;;
135;Planung;Genehmigungsplanung;Leistung;;3;132;139
136;Planung;Planungsentscheidungen herbeiführen;Leistung;AG, PS, PL, AIF;4;134;137
260;Planung;Leistungsbeschreibung erstellen;Leistung;AIF;4;136;137
243;Planung;Vorlagen und Nachweise erarbeiten;Leistung;AIF, SV, BER, V, B, RA;4;136;137
137;Planung;Genehmigungsfähige Planung aufstellen;Leistung;PL, AIF, RA;4;136;140
244;Planung;Planungsunterlagen bei Behörde einreichen;Leistung;PL, AIF, B;4;;
245;Planung;Baugenehmigung erhalten;Leistung;AG, B;4;;
138;Ausführungsvorbereitung;Leistungsfortschreibung;Leistung;;2;131;147
139;Ausführungsvorbereitung;Ausführungsplanung;Leistung;;3;135;144
140;Ausführungsvorbereitung;Planung fortschreiben;Leistung;AIF, AG;4;245;141
141;Ausführungsvorbereitung;Ausführungsplanung erstellen;Leistung;AIF;4;140;142
142;Ausführungsvorbereitung;Raumbuch anpassen;Leistung;AIF, PM;4;141;143
143;Ausführungsvorbereitung;Bemusterung anpassen;Leistung;AIF;4;142;145,261
261;Ausführungsvorbereitung;Leistungsbeschreibung anpassen;Leistung;AIF;4;143;262
144;Ausführungsvorbereitung;Leistungsbeschreibung;Leistung;;3;139;148
145;Ausführungsvorbereitung;LV-Positionen festlegen;Leistung;AIF;4;143;146,262
146;Ausführungsvorbereitung;Massenermittlungen durchführen;Leistung;AIF, PM;4;145;263
262;Ausführungsvorbereitung;Leistungsverzeichnis erstellen;Leistung;AIF, PM;4;145,261;263
263;Ausführungsvorbereitung;Leistungsbeschreibung anpassen;Leistung;AIF, PM;4;146,262;
147;Ausführung;Leistungsfortschreibung;Leistung;;2;138;155
148;Ausführung;Überwachung der Ausführung;Leistung;;3;144;156
150;Ausführung;Leistungsstand überwachen;Leistung;PM, PS, AIF;4;149;151
153;Ausführung;Vertragsleistung mit Ausführung abgleichen;Leistung;PM, PS, AIF;4;152;154
152;Ausführung;Nachträge prüfen;Leistung;PM, PS, AIF, RA, aF;4;151;153
149;Ausführung;Technische Risiken einschätzen;Leistung;PL, PM, PS, AIF, BER, SV;4;146;150
305;Ausführung;Erwartete Nachträge einschätzen;Leistung;PL, PM, PS, AIF, BER, SV;4;;
306;Ausführung;Überwachung der Qualität;Leistung;;3;;
307;Ausführung;Auf Mängel prüfen;Leistung;PM, PS, AIF, SV;4;;
151;Ausführung;Beweissicherungsverfahren anwenden;Leistung;PM, AIF, RA, V, SV;4;150;152
154;Ausführung;Mängelbeseitigung koordinieren;Leistung;PM, PS, AIF, aF;4;153;157
155;Projektabschluss;Leistungsfortschreibung;Leistung;;2;147;
365;Projektabschluss;Überwachung der Ausführung;Leistung;;3;;
366;Projektabschluss;Leistungsstand überwachen;Leistung;PM, PS, AIF;4;;
367;Projektabschluss;Vertragsleistung mit Ausführung abgleichen;Leistung;PM, PS, AIF;4;;
368;Projektabschluss;Nachträge prüfen;Leistung;PM, PS, AIF, RA, aF;4;;
369;Projektabschluss;Technische Risiken einschätzen;Leistung;PL, PM, PS, AIF, BER, SV;4;;
370;Projektabschluss;Erwartete Nachträge einschätzen;Leistung;PL, PM, PS, AIF, BER, SV;4;;
371;Projektabschluss;Überwachung der Qualität;Leistung;;3;;
372;Projektabschluss;Auf Mängel prüfen;Leistung;PM, PS, AIF, SV;4;;
159;Projektabschluss;Mängelbeseitigung koordinieren;Leistung;PM, AIF, RA, V, SV;4;;
373;Projektabschluss;Beweissicherungsverfahren anwenden;Leistung;PM, PS, AIF, aF;4;;
156;Projektabschluss;Abnahme/Gewährleistung;Leistung;;3;148;
157;Projektabschluss;Funktionsprüfung durchführen;Leistung;PM, AIF, SV, N;4;154;158
160;Projektabschluss;Gebäude- u. Raumbuch aktualisieren;Leistung;PM, PS, AIF;4;159;161
161;Projektabschluss;Gewährleistungsverzeichnis erstellen;Leistung;PM, PS, AIF, RA;4;160;
165;Projektvorbereitung;Projektentstehung;Projektorganisation;;2;25;166
170;Projektvorbereitung;Projektkultur;Projektorganisation;;3;26;194
193;Projektvorbereitung;Aufbauorganisation bilden;Projektorganisation;AG;4;27;171
171;Projektvorbereitung;Kommunikationsstruktur festlegen;Projektorganisation;AG;4;193;195,196
195;Projektvorbereitung;Berichtswesenstruktur festlegen;Projektorganisation, MMD;AG, PL;4;171;197,198
196;Projektvorbereitung;Aussendarstellung konzeptionell festlegen;Projektorganisation, MMD;AG, PL, P, Of;4;171;197
197;Projektvorbereitung;Kommunikationspolitik formulieren;Projektorganisation, MMD;AG, PL;4;195,196;
194;Projektvorbereitung;Projektstruktur;Projektorganisation;;3;170;172
198;Projektvorbereitung;Aufbauorganisation festlegen;Projektorganisation;AG, PL;4;193,195;199,202
199;Projektvorbereitung;Entscheidungsbefugnisse festlegen;Projektorganisation, MMD;AG, PL;4;198,201,202;200
200;Projektvorbereitung;Weisungsbefugnisse festlegen;Projektorganisation, MMD;AG, PL;4;199;173
202;Projektvorbereitung;Projektcontrolling aufbauen;Projektorganisation, MMD;AG, PL, PS, BER;4;198;199,201
201;Projektvorbereitung;Risikomanagement aufbauen;Projektorganisation, MMD;AG, PL, PS, BER;4;202;199
166;Planung;Projektplanung;Projektorganisation;;2;;
172;Planung;Projektkultur;Projektorganisation;;3;;
173;Planung;Kommunikationssystem pflegen;Projektorganisation;PM;4;200;175
419;Planung;Projektbeteiligte integrieren;Projektorganisation;PL, PM, AG;4;;
420;Planung;Projekt gegenüber Umwelt vertreten;Projektorganisation;PL, AG, P, Of;4;;
421;Planung;Werte des Auftraggebers integrieren;Projektorganisation;AG, PL;4;;
422;Planung;Projektgespräche führen;Projektorganisation;PL, PM, PS, AG, RA, BER, AIF, I, Ba;4;;
417;Planung;Projektdokumentation;Projektorganisation;;3;;
423;Planung;Berichte und Protokolle festlegen;Projektorganisation, MMD;AG, PL, PM;4;;
424;Planung;Projekthandbuch erstellen;Projektorganisation, MMD;PL, PM, AIF;4;;
425;Planung;Berichtswesen aufbauen und pflegen;Projektorganisation, MMD;AG, PL, PM;4;;
418;Planung;Projektstruktur;Projektorganisation;;3;;
426;Planung;Aufbauorganisation pflegen;Projektorganisation;AG, PL;4;;
427;Planung;Ablauforganisation festlegen;Projektorganisation;PL, PM;4;;
428;Planung;Projektstrukturplan erstellen;Projektorganisation;PL, PM;4;;
429;Planung;Schnittstellen und Abhängigkeiten definieren;Projektorganisation, MMD;PL, PM;4;;
167;Ausführungsvorbereitung;Projektplanung;Projektorganisation;;2;;
174;Ausführungsvorbereitung;Projektkultur;Projektorganisation;;3;;
175;Ausführungsvorbereitung;Kommunikationssystem pflegen;Projektorganisation;PM;4;173;177
432;Ausführungsvorbereitung;Projektbeteiligte integrieren;Projektorganisation;PL, PM, AG;4;;
433;Ausführungsvorbereitung;Projekt gegenüber Umwelt vertreten;Projektorganisation;PL, AG, P, Of;4;;
434;Ausführungsvorbereitung;Projektgespräche führen;Projektorganisation;PL, PM, PS, AG, RA, BER, AIF, I, Ba;4;;
430;Ausführungsvorbereitung;Projektdokumentation;Projektorganisation;;3;;
435;Ausführungsvorbereitung;Berichte und Protokolle pflegen;Projektorganisation;AG, PL, PM;4;;
436;Ausführungsvorbereitung;Projekthandbuch fortschreiben;Projektorganisation;PL, PM, AIF;4;;
437;Ausführungsvorbereitung;Berichtswesen pflegen;Projektorganisation;AG, PL, PM;4;;
431;Ausführungsvorbereitung;Projektstruktur;Projektorganisation;;3;;
438;Ausführungsvorbereitung;Projektstrukturplan fortschreiben;Projektorganisation, MMD;PM;4;;
439;Ausführungsvorbereitung;Aufbauorganisation pflegen;Projektorganisation, MMD;AG, PL;4;;
440;Ausführungsvorbereitung;Ablauforganisation fortschreiben;Projektorganisation, MMD;PL, PM;4;;
168;Ausführung;Projektbegleitung;Projektorganisation;;2;;
176;Ausführung;Projektkultur;Projektorganisation;;3;;
177;Ausführung;Kommunikationssystem pflegen;Projektorganisation;PM;4;175;179
443;Ausführung;Projektbeteiligte integrieren;Projektorganisation;PL, PM, AG;4;;
444;Ausführung;Projekt gegenüber Umwelt vertreten;Projektorganisation;PL, AG, P, Of;4;;
445;Ausführung;Projektgespräche führen;Projektorganisation;PL, PM, PS, AG, RA, BER, AIF, I, Ba;4;;
441;Ausführung;Projektdokumentation;Projektorganisation;;3;;
446;Ausführung;Berichte und Protokolle pflegen;Projektorganisation;AG, PL, PM;4;;
447;Ausführung;Projekthandbuch fortschreiben;Projektorganisation;PL, PM, AIF;4;;
448;Ausführung;Berichtswesen pflegen;Projektorganisation;AG, PL, PM;4;;
442;Ausführung;Projektstruktur;Projektorganisation;;3;;
449;Ausführung;Projektstrukturplan fortschreiben;Projektorganisation, MMD;PM;4;;
450;Ausführung;Aufbauorganisation pflegen;Projektorganisation, MMD;AG, PL;4;;
451;Ausführung;Ablauforganisation fortschreiben;Projektorganisation, MMD;PL, PM;4;;
169;Projektabschluss;Projektende;Projektorganisation;;2;;
178;Projektabschluss;Projektkultur;Projektorganisation;;3;;
179;Projektabschluss;Kommunikationssystem pflegen;Projektorganisation;PM;4;177;
454;Projektabschluss;Projektbeteiligte integrieren;Projektorganisation;PL, PM, AG;4;;
455;Projektabschluss;Projekt gegenüber Umwelt vertreten;Projektorganisation;PL, AG, P, Of;4;;
456;Projektabschluss;Projektgespräche führen;Projektorganisation;PL, PM, PS, AG, RA, BER, AIF, I, Ba;4;;
452;Projektabschluss;Projektdokumentation;Projektorganisation;;3;;
457;Projektabschluss;Berichte und Protokolle pflegen;Projektorganisation;AG, PL, PM;4;;
458;Projektabschluss;Projekthandbuch fortschreiben;Projektorganisation;PL, PM, AIF;4;;
459;Projektabschluss;Berichtswesen pflegen;Projektorganisation;AG, PL, PM;4;;
460;Projektabschluss;Archivierung vornehmen;Projektorganisation, MMD;PM, AIF;4;;
461;Projektabschluss;Dokumentation an Nutzer übergeben;Projektorganisation, MMD;PL, N;4;;
453;Projektabschluss;Projektstruktur;Projektorganisation;;3;;
462;Projektabschluss;Projektstruktur auflösen;Projektorganisation, MMD;AG, PL;4;;
